id;valor_total;area_util;quartos;vagas;valor_condominio;suites;banheiros;piscina;academia;quadra;link;bairro;qtd_dados_bairro;media_idh;expectativa_vida;renda_percapita;estacao_prox;linha_prox;dist;lat;lon
526;189900;32;2;1;180;0;1;0;1;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-tiradentes-zona-leste-sao-paulo-com-garagem-32m2-venda-RS189900-id-2548078273/;JOSE BONIFACIO;36;"0,697181818";"72,75181818";"559,6681818";SÃO MATEUS;PRATA;"6822,823684";"-23,5838787";"-46,417548"
734;221110;43;2;1;250;0;1;0;0;1;https://www.vivareal.com.br/imovel/apartamento-2-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS221110-id-2614484926/;JOSE BONIFACIO;36;"0,697181818";"72,75181818";"559,6681818";CORINTHIANS-ITAQUERA;VERMELHA;"4682,709841";"-23,5435347";"-46,4254919"
738;219990;43;1;1;300;0;1;1;0;0;https://www.vivareal.com.br/imovel/apartamento-1-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS219990-id-2616541937/;JOSE BONIFACIO;36;"0,697181818";"72,75181818";"559,6681818";CORINTHIANS-ITAQUERA;VERMELHA;"4579,311123";"-23,5373392";"-46,4268225"
753;219990;43;2;1;300;0;1;1;0;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS219990-id-2610581288/;JOSE BONIFACIO;36;"0,697181818";"72,75181818";"559,6681818";CORINTHIANS-ITAQUERA;VERMELHA;"4579,311123";"-23,5373392";"-46,4268225"
924;220000;41;2;1;300;0;1;1;1;1;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-41m2-venda-RS220000-id-2524380092/;JOSE BONIFACIO;36;"0,697181818";"72,75181818";"559,6681818";CORINTHIANS-ITAQUERA;VERMELHA;"3313,918703";"-23,5577993";"-46,4435232"
927;240000;56;2;1;220;0;1;0;0;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-56m2-venda-RS240000-id-2616777498/;JOSE BONIFACIO;36;"0,697181818";"72,75181818";"559,6681818";CORINTHIANS-ITAQUERA;VERMELHA;"3358,48074";"-23,5431266";"-46,4384555"
928;192000;59;2;1;300;0;1;0;0;1;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-59m2-venda-RS192000-id-2574773043/;JOSE BONIFACIO;36;"0,697181818";"72,75181818";"559,6681818";CORINTHIANS-ITAQUERA;VERMELHA;"3487,990355";"-23,5386763";"-46,437414"
933;239000;42;2;0;320;0;1;0;0;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-42m2-venda-RS239000-id-2582153030/;JOSE BONIFACIO;36;"0,697181818";"72,75181818";"559,6681818";CORINTHIANS-ITAQUERA;VERMELHA;"4097,846445";"-23,5592323";"-46,4356071"
937;290000;46;2;1;300;0;1;1;1;0;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-46m2-venda-RS290000-id-2580353709/;JOSE BONIFACIO;36;"0,697181818";"72,75181818";"559,6681818";CORINTHIANS-ITAQUERA;VERMELHA;"3441,822684";"-23,5577673";"-46,4420511"
951;280000;72;3;1;372;1;1;1;0;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-itaquera-zona-leste-sao-paulo-com-garagem-72m2-venda-RS280000-id-2596451166/;JOSE BONIFACIO;36;"0,697181818";"72,75181818";"559,6681818";CORINTHIANS-ITAQUERA;VERMELHA;"4316,97664";"-23,5584977";"-46,4328399"
